,name,link,link_employer,salary,salary_min,salary_max,salary_cur
0,Инженер-схемотехник/конструктор РЭА,https://hhcdn.ru/click?b=228822&place=35,https://www.hh.ru/employer/1162809,90000 – 150000 руб.,90000.0,150000.0,руб
1,Сервисный инженер / Инженер-электронщик,https://hh.ru/vacancy/47041997?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/3972271,от 150000 руб.,150000.0,,руб
2,Ведущий инженер-схемотехник,https://hh.ru/vacancy/47101792?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/4693840,от 150000 руб.,150000.0,,руб
3,Программист микроконтроллеров - схемотехник,https://hh.ru/vacancy/46833589?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/4438215,120000 – 200000 руб.,120000.0,200000.0,руб
4,Инженер-схемотехник,https://hh.ru/vacancy/43890190?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/3337220,100000 – 130000 руб.,100000.0,130000.0,руб
5,Инженер-схемотехник,https://hh.ru/vacancy/46949572?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/4316310,90000 – 120000 руб.,90000.0,120000.0,руб
6,Ведущий инженер-схемотехник / разработчик РЭА / Электронщик,https://hh.ru/vacancy/46531173?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/3259751,от 130000 руб.,130000.0,,руб
7,Ведущий инженер-схемотехник,https://hh.ru/vacancy/45367211?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/1540476,120000 – 170000 руб.,120000.0,170000.0,руб
8,Инженер-схемотехник,https://hh.ru/vacancy/47258654?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/4535346,70000 – 90000 руб.,70000.0,90000.0,руб
9,Инженер-электронщик/схемотехник,https://hh.ru/vacancy/46971047?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/570444,115000 – 115000 руб.,115000.0,115000.0,руб
